Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists
Cody Martin,CHA,182,4230,437,1069,242,195,175,42,25,59,136
Josh Okogie,PHX,253,4217,265,638,157,108,105,35,17,35,73
Aaron Wiggins,OKC,221,4214,271,649,164,107,117,34,13,30,77
Mo Bamba,LAC,233,4193,215,522,123,92,66,38,19,23,69
Terrence Ross,PHX,172,4125,319,758,199,120,126,52,21,42,78
Xavier Tillman Sr.,BOS,242,4080,316,769,179,137,95,54,30,35,102
Cam Reddish,LAL,180,4075,201,476,127,74,92,29,6,19,55
Andrew Nembhard,IND,154,4043,669,1592,415,254,276,110,29,66,188
Jaxson Hayes,LAL,258,4040,154,381,81,73,40,26,15,13,60
Jalen Duren,DET,151,4000,276,632,196,80,108,49,39,27,53
Jeremy Sochan,SAS,141,3958,419,1009,248,171,147,64,37,44,127
Daniel Theis,NOP,196,3944,240,580,140,100,76,40,24,22,78
Montrezl Harrell,PHI,197,3902,251,591,162,89,94,45,23,22,67
Jalen Johnson,ATL,171,3887,416,985,263,153,178,67,18,70,83
Damion Lee,PHX,198,3879,240,587,133,107,77,44,12,34,73
Robert Williams III,POR,161,3863,280,699,141,139,78,37,26,27,112
Tre Mann,CHA,181,3857,415,1016,229,186,152,66,11,36,150
Chuma Okeke,ORL,189,3831,276,677,151,125,102,33,16,37,88
Zach Collins,SAS,184,3809,477,1077,354,123,227,81,46,25,98
Oshae Brissett,BOS,208,3796,178,453,81,97,54,16,11,32,65
Richaun Holmes,WAS,191,3778,183,442,107,76,73,21,13,19,57
Ben Simmons,BKN,133,3767,858,2148,426,432,226,115,85,126,306
Theo Maledon,PHX,177,3753,518,1264,290,228,205,66,19,65,163
Thaddeus Young,PHX,207,3732,527,1225,356,171,245,65,46,49,122
Jalen Smith,CHI,229,3730,172,397,119,53,60,44,15,11,42
Walker Kessler,UTA,155,3691,153,394,65,88,27,34,4,31,57
Nick Richards,CHA,209,3647,123,289,80,43,47,19,14,10,33
Sam Hauser,BOS,205,3631,184,466,86,98,51,28,7,32,66
Christian Braun,DEN,180,3610,232,556,140,92,80,43,17,32,60
Ochai Agbaji,TOR,161,3590,198,480,114,84,66,36,12,26,58
Danilo Gallinari,MIL,166,3523,232,563,133,99,78,39,16,30,69
Bismack Biyombo,OKC,202,3520,213,497,142,71,54,52,36,22,49
Dennis Smith Jr.,BKN,170,3507,673,1611,408,265,283,94,31,88,177
Hamidou Diallo,WAS,168,3496,230,567,123,107,76,28,19,33,74
Carmelo Anthony,LAL,138,3483,172,428,88,84,62,12,14,30,54
Eric Bledsoe,LAC,125,3472,493,1179,300,193,195,75,30,60,133
Jose Alvarado,NOP,182,3454,504,1169,343,161,220,93,30,50,111
Danny Green,PHI,144,3445,189,445,122,67,76,29,17,26,41
Davis Bertans,CHA,201,3436,136,316,92,44,63,13,16,15,29
Aleksej Pokusevski,CHA,168,3429,327,792,189,138,121,46,22,43,95
Ziaire Williams,BKN,171,3403,199,473,124,75,76,43,5,28,47
Malaki Branham,SAS,159,3377,304,714,198,106,121,65,12,27,79
Jaylen Nowell,NOP,190,3367,361,871,212,149,144,56,12,56,93
Wesley Matthews,ATL,195,3365,147,356,85,62,47,27,11,14,48
Jordan Nwora,TOR,206,3358,216,510,138,78,104,24,10,29,49
Austin Rivers,MIN,155,3341,246,613,125,121,67,40,18,37,84
Shaedon Sharpe,POR,128,3326,226,558,120,106,72,32,16,27,79
Keita Bates-Diop,BKN,209,3318,194,478,104,90,57,36,11,26,64
Chimezie Metu,DET,213,3315,174,426,96,78,70,22,4,24,54
Ricky Rubio,CLE,135,3308,773,1841,478,295,348,101,29,73,222
Jordan McLaughlin,SAC,232,3302,650,1571,379,271,282,77,20,95,176
Raul Neto,CLE,182,3280,442,1056,270,172,166,70,34,45,127
Javonte Green,NOP,171,3264,125,295,80,45,51,20,9,22,23
Markelle Fultz,ORL,129,3263,603,1475,334,269,233,63,38,81,188
Rudy Gay,UTA,174,3211,201,488,115,86,76,26,13,29,57
Chris Duarte,CHI,172,3207,226,525,153,73,108,37,8,24,49
Lamar Stevens,MEM,203,3193,130,326,64,66,42,15,7,17,49
Ish Smith,CHA,195,3188,661,1584,399,262,278,82,39,86,176
Goga Bitadze,ORL,216,3182,249,595,152,97,99,33,20,15,82
Dyson Daniels,ATL,143,3176,374,876,246,128,155,67,24,49,79
Nassir Little,PHX,189,3163,148,384,60,88,31,17,12,25,63
Furkan Korkmaz,PHI,194,3129,256,616,152,104,101,35,16,39,65
R.J. Hampton,MIA,170,3116,307,774,147,160,103,29,15,46,114
Garrett Temple,TOR,175,3108,244,578,154,90,97,48,9,29,61
Trendon Watford,BKN,184,3106,307,737,184,123,124,40,20,32,91
Lonzo Ball,CHI,98,3094,521,1196,367,154,272,62,33,49,105
Brandon Miller,CHA,94,3071,244,596,136,108,100,24,12,31,77
Bones Hyland,LAC,172,3039,466,1100,298,168,209,67,22,65,103
Malachi Flynn,DET,213,3032,407,984,237,170,147,67,23,63,107
Haywood Highsmith,MIA,159,3006,142,356,70,72,43,20,7,35,37
Svi Mykhailiuk,UTA,201,3003,251,604,149,102,106,33,10,37,65
JaMychal Green,GSW,182,3002,163,411,78,85,45,21,12,18,67
Danuel House Jr.,PHI,168,2975,185,455,100,85,68,25,7,33,52
DeAndre Jordan,DEN,190,2948,182,425,121,61,64,34,23,11,50
Moses Moody,GSW,204,2938,151,375,78,73,48,21,9,22,51
Paul Reed,DET,226,2932,169,398,109,60,77,24,8,16,44
Miles McBride,NYK,190,2922,276,695,133,143,87,34,12,50,93
Dario Saric,DEN,181,2910,294,699,183,111,102,57,24,34,77
Bryn Forbes,MIN,170,2908,137,340,71,66,46,17,8,26,40
Ty Jerome,CLE,152,2860,450,1105,245,205,158,61,26,68,137
Juan Toscano-Anderson,SAC,189,2854,346,856,182,164,128,38,16,54,110
Isaiah Roby,SAS,148,2847,216,515,133,83,81,38,14,19,64
Simone Fontecchio,DET,141,2825,163,388,101,62,60,35,6,30,32
James Wiseman,IND,148,2799,110,260,70,40,25,28,17,5,35
Tristan Thompson,CLE,168,2790,156,387,81,75,36,26,19,10,65
Mike Muscala,OKC,194,2783,136,336,72,64,48,18,6,12,52
Kris Dunn,LAC,131,2764,524,1276,296,228,200,85,11,71,157
George Hill,IND,130,2758,303,735,174,129,103,41,30,34,95
Tari Eason,HOU,126,2752,139,336,81,58,55,24,2,20,38
Jeremiah Robinson-Earl,NOP,156,2743,143,353,76,67,40,24,12,19,48
Victor Wembanyama,SAS,90,2717,343,785,244,99,183,44,17,31,68
Keyonte George,UTA,97,2717,456,1092,276,180,149,112,15,69,111
Taj Gibson,CHA,178,2717,120,297,63,57,33,18,12,17,40
Blake Griffin,BOS,143,2714,306,763,155,151,78,36,41,33,118
Goran Dragic,MIL,129,2704,456,1081,287,169,194,61,32,61,108
Khem Birch,TOR,142,2682,152,382,74,78,27,22,25,23,55
Chet Holmgren,OKC,92,2677,220,517,143,77,86,35,22,20,57
Facundo Campazzo,DAL,138,2661,461,1141,242,219,147,70,25,58,161
Derrick Rose,MEM,127,2652,436,1058,250,186,172,57,21,65,121
David Roddy,ATL,149,2640,158,385,89,69,65,18,6,28,41
Gary Payton II,GSW,170,2636,170,422,88,82,58,21,9,17,65
Kendrick Nunn,WAS,126,2614,238,552,162,76,118,33,11,14,62
Stanley Johnson,SAS,139,2569,236,573,135,101,97,27,11,24,77
Yuta Watanabe,MEM,180,2560,124,300,72,52,47,23,2,20,32
Luke Kornet,BOS,196,2545,180,466,74,106,47,18,9,22,84
JaVale McGee,SAC,208,2544,109,249,78,31,46,24,8,3,28
Jabari Walker,POR,147,2524,118,281,73,45,48,19,6,11,34
Brandin Podziemski,GSW,96,2510,348,846,198,150,111,61,26,34,116
Jaime Jaquez Jr.,MIA,93,2499,237,574,137,100,85,37,15,37,63
Julian Champagnie,SAS,115,2499,149,349,98,51,72,20,6,16,35
Jock Landale,HOU,193,2486,192,476,100,92,53,24,23,19,73
Zeke Nnaji,DEN,209,2472,80,198,42,38,20,13,9,7,31
Kemba Walker,DAL,89,2461,362,889,197,165,117,52,28,44,121
James Johnson,IND,143,2460,253,618,141,112,79,40,22,29,83
Toumani Camara,POR,94,2459,137,334,77,60,46,21,10,17,43
Terence Davis,SAC,155,2451,190,447,123,67,86,28,9,26,41
Bilal Coulibaly,WAS,84,2441,176,425,103,73,72,29,2,14,59
Isaiah Jackson,IND,163,2438,116,268,80,36,45,21,14,11,25
Dalano Banton,POR,171,2399,320,774,186,134,123,45,18,55,79
Josh Jackson,SAC,113,2390,197,458,133,64,113,16,4,18,46
Victor Oladipo,MIA,83,2359,325,786,189,136,127,55,7,40,96
Thomas Bryant,MIA,144,2348,96,231,57,39,31,15,11,8,31
