Name,TeamAbbreviation,GamesPlayed,Minutes,PlusMinus,OnOffRtg,OnDefRtg,FirstChancePoints,ThreePtOffReboundedPct,AtRimOffReboundedPct,ShortMidRangeOffReboundedPct,LongMidRangeOffReboundedPct,Blocks,Blocked2s,Blocked3s,BlockedAtRim,BlockedShortMidRange,BlockedLongMidRange,BlockedCorner3,BlockedArc3,RecoveredBlocks,BlocksRecoveredPct,Steals,LostBallSteals,BadPassSteals,DefensiveGoaltends
Grayson Allen,PHX,282,8002,706,117.47232137455381,113.41374712086314,2935,0.21451787648970747,0.2792207792207792,0.3333333333333333,0.32142857142857145,91,90,1,53,35,2,1,0,50,0.5494505494505495,237,90,147,5
Anthony Davis,LAL,231,7984,332,114.90245664739884,113.14185723767575,4738,0.1524822695035461,0.3856041131105398,0.22302158273381295,0.1572769953051643,487,454,33,224,217,13,8,25,311,0.6386036960985626,273,74,199,10
Kelly Oubre Jr.,PHI,269,7981,-595,111.82060283258686,114.9002831837079,3774,0.19433962264150945,0.36855036855036855,0.33853006681514475,0.189873418,149,135,14,81,50,4,6,8,71,0.47651006711409394,307,154,153,5
Jordan Clarkson,UTA,276,7967,430,117.25869671729544,114.77279695836144,4455,0.271889401,0.3442622950819672,0.3706395348837209,0.40217391304347827,46,45,1,25,19,1,0,1,28,0.6086956521739131,206,78,128,1
Caris LeVert,CLE,266,7926,426,115.81130440165913,113.38460584258513,3699,0.22685788787483702,0.3956043956043956,0.28717948717948716,0.184,119,114,5,53,59,2,3,2,67,0.5630252100840336,282,94,188,1
Lauri Markkanen,UTA,251,7859,205,116.7824792157836,115.55362462760675,4240,0.24737344794651384,0.4711864406779661,0.3342541436464088,0.26881720430107525,111,108,3,51,57,0,1,2,62,0.5585585585585585,175,39,136,6
Karl-Anthony Towns,NYK,236,7856,786,118.05332674978396,113.74263565891472,4770,0.17420212765957446,0.39461883408071746,0.27655310621242485,0.098039216,217,211,6,118,90,3,3,3,123,0.5668202764976958,190,76,114,17
Scottie Barnes,TOR,224,7831,63,114.93341788205454,114.32369137287169,3197,0.23754789272030652,0.4477124183006536,0.36460176991150445,0.18660287081339713,214,186,28,103,82,1,7,21,128,0.5981308411214953,256,85,171,19
Terance Mann,LAC,327,7808,107,114.97864746000383,113.60871768879878,2522,0.2088888888888889,0.4268292682926829,0.3107569721115538,0.1926605504587156,76,70,6,39,28,3,0,6,56,0.7368421052631579,191,72,119,3
Norman Powell,LAC,268,7807,-35,115.60341071761998,116.14654849581825,4265,0.19685990338164253,0.36079545454545453,0.3390804597701149,0.20270270270270271,82,70,12,25,41,4,4,8,50,0.6097560975609756,237,92,145,3
Jakob Poeltl,TOR,282,7793,36,115.59937402190923,115.33070521243977,2518,0,0.33153638814016173,0.2821576763485477,0.36363636363636365,432,430,2,284,145,1,1,1,269,0.6226851851851852,219,65,154,5
Bobby Portis,MIL,312,7751,421,117.05063370169196,114.5294338207724,3437,0.1872,0.4290322580645161,0.21095334685598377,0.16785714285714284,140,138,2,60,74,4,0,2,80,0.5714285714285714,214,67,147,6
Brook Lopez,MIL,263,7739,1011,118.15318097591106,112.15103683070257,2986,0.23056994818652848,0.32989690721649484,0.30566037735849055,0.095238095,551,548,3,309,233,6,0,3,358,0.6497277676950998,154,57,97,14
