Name,TeamAbbreviation,GamesPlayed,Minutes,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct
Kevon Looney,GSW,320,6394,448,0,212,46,0,0,35,0.1475295755045233,0.1496118560338744,0
Naz Reid,MIN,319,6345,635,3,323,88,0,0,35,0.10971467391304347,0.17346938775510204,0
Patrick Williams,CHI,228,6336,362,1,174,36,1,0,20,0.090299278,0.13657770800627944,0.001506024
Jusuf Nurkic,PHX,237,6314,886,0,422,112,0,0,73,0.1696823482106956,0.19673659673659674,0
Jamal Murray,DEN,189,6311,619,60,196,40,12,2,93,0.064157927,0.095890411,0.010016694
Collin Sexton,UTA,220,6293,1079,36,472,120,6,0,99,0.14071239328819546,0.1858267716535433,0.007001167
Alex Caruso,OKC,252,6276,325,2,138,27,2,0,33,0.088161209,0.17380352644836272,0.002518892
Malcolm Brogdon,WAS,207,6215,676,46,268,58,2,0,73,0.088408644,0.13569620253164558,0.001853568
Josh Richardson,MIA,240,6176,355,28,107,22,11,4,53,0.053620531622364805,0.092400691,0.009765625
Daniel Gafford,DAL,301,6139,688,0,345,112,0,0,55,0.18053375196232338,0.1806282722513089,0
Jeff Green,HOU,284,6122,625,0,321,77,2,1,28,0.16061660865241173,0.2431818181818182,0.002894356
KJ Martin,PHI,285,6122,497,0,266,67,0,0,17,0.13187902825979178,0.17792642140468226,0
Alec Burks,MIA,259,6087,745,32,268,53,36,9,69,0.11915060951631931,0.20921155347384857,0.027733756
Klay Thompson,DAL,198,6055,340,20,127,26,14,5,30,0.042636831,0.089060309,0.00744285
Christian Wood,LAL,226,6030,905,1,387,101,16,2,94,0.14105263157894737,0.20347003154574134,0.015822784810126583
Taurean Prince,MIL,265,6005,316,8,135,42,9,1,28,0.074658254,0.15358361774744028,0.00684262
De'Anthony Melton,GSW,246,5996,345,3,124,23,6,2,52,0.057155516171909615,0.12168792934249265,0.004038772
Seth Curry,CHA,249,5884,268,47,51,16,28,15,43,0.037554165,0.049707602339181284,0.025689819219790674
Gordon Hayward,OKC,194,5882,613,8,288,73,1,0,51,0.11676767676767677,0.16008893829905502,0.00147929
Keegan Murray,SAC,182,5881,236,3,111,28,3,0,14,0.053697597739048517,0.11431513903192585,0.002604167
Jae'Sean Tate,HOU,254,5867,448,0,201,56,2,1,49,0.10283687943262411,0.13852515506547208,0.003824092
Kawhi Leonard,LAC,172,5850,860,38,352,102,10,3,98,0.1131957473420888,0.1497235219055721,0.011806375442739079
Nickeil Alexander-Walker,MIN,275,5830,330,11,130,30,7,0,35,0.061352441,0.11948529411764706,0.006113537
